candidateId,value,universidad homologada
630665b8594e18004af05073,Universidad Tecnologica Del Peru,Universidad Tecnologica Del Peru
630665b8594e18004af0507f,Senati,Senati
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af0509a,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae
630665b8594e18004af0509a,Cet N° 34,Cet N° 34
630665b8594e18004af050a1,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae
630665b8594e18004af050a7,Instituto Sise,Instituto Sise
630665b8594e18004af050ae,Telesup,Telesup
630665b8594e18004af050b7,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af050c1,Cepeban,Cepeban
630665b8594e18004af050c8,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af050ce,Itae,Itae
630665b8594e18004af050d4,Instituto Cibertec,Instituto Cibertec
630665b8594e18004af050dd,San Juan Bosco De Huanuco,San Juan Bosco De Huanuco
630665b8594e18004af050e4,Juan Bosco De Huánuco,Juan Bosco De Huánuco
630665b8594e18004af050eb,Instituto San Juan Sullana,Instituto San Juan Sullana
630665b8594e18004af050f2,Ifb- Certus,Ifb- Certus
630665b8594e18004af050f2,Iep. San Carlos,Iep. San Carlos
630665b8594e18004af050fa,Instituto Privado Certus,Instituto Privado Certus
630665b8594e18004af05101,Adminitracion,Adminitracion
630665b8594e18004af05109,Instituto Superior Sise,Instituto Superior Sise
630665b8594e18004af05110,Senati,Senati
630665b8594e18004af05110,Estudios Secundarios,Estudios Secundarios
630665b8594e18004af05119,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05119,Cibertec,Cibertec
630665b8594e18004af05123,Unmsm,Unmsm
630665b8594e18004af05129,Instituto Superior Tecnologico Privado Blaise Pascal,Instituto Superior Tecnologico Privado Blaise Pascal
630665b8594e18004af0513b,Juan Pablo Peregrino,Juan Pablo Peregrino
630665b8594e18004af05142,Cepeban,Cepeban
630665b8594e18004af05149,Universidad De San Martin De Porres,Universidad de San Martín de Porres
630665b8594e18004af0514f,Certus,Certus
630665b8594e18004af05156,Instituto De Educación Superior Tecnológico Privado De Formación Bancaria,Instituto De Educación Superior Tecnológico Privado De Formación Bancaria
630665b8594e18004af0515d,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05165,Ifb Certus,Ifb Certus
630665b8594e18004af0516d,Universidad De Ciencias Aplicadas,Universidad De Ciencias Aplicadas
630665b8594e18004af0516d,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af05179,Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista S.A.C.
630665b8594e18004af05179,Centro De Idiomas De La Catolica,Centro De Idiomas De La Catolica
630665b8594e18004af05184,Certus,Certus
630665b8594e18004af0518c,Instituto Fibonacci,Instituto Fibonacci
630665b8594e18004af05192,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio De Loyola - Usil
630665b8594e18004af05192,Instituto Beta,Instituto Beta
630665b8594e18004af05192,Isil,Isil
630665b8594e18004af0519c,Universidad Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af051a4,Instituto Certus,Instituto Certus
630665b8594e18004af051ab,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af051b3,Universida Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af051ba,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af051c2,Isam,Isam
630665b8594e18004af051c8,Instituto La Pontificia,Instituto La Pontificia
630665b8594e18004af051cf,Idat,Idat
630665b8594e18004af051cf,Ábaco,Ábaco
630665b8594e18004af051de,Administración De Empresas,Administración De Empresas
630665b8594e18004af051de,I.e Virgen Dolorosa,I.e Virgen Dolorosa
630665b8594e18004af051e5,Universidad Privada Del Norte - Upn,Universidad Privada Del Norte - Upn
630665b8594e18004af051e5,Icpna,Icpna
630665b8594e18004af051ec,Senati,Senati
630665b8594e18004af051f8,Computron,Computron
630665b8594e18004af051ff,Universidad Autónoma Del Perú,Universidad Autónoma del Perú S.A.C.
630665b8594e18004af05206,Instituto San Ignacio De Loyola,Instituto San Ignacio De Loyola
630665b8594e18004af0520c,Idat,Idat
630665b8594e18004af05215,Universidad Científica Del Sur,Universidad Científica del Sur S.A.C.
630665b8594e18004af05220,Universidad Católica Sede Sapientiae,Universidad Católica Sedes Sapientiae
630665b8594e18004af05227,Certus,Certus
630665b8594e18004af0522e,Ucv,Ucv
630665b8594e18004af05235,Certus,Certus
630665b8594e18004af05235,Ifb,Ifb
630665b8594e18004af05240,Idat,Idat
630665b8594e18004af05247,Etsunp,Etsunp
630665b8594e18004af0524e,Universidad Norbert Wiener,Universidad Norbert Wiener
630665b8594e18004af0525c,Instituto Continental,Instituto Continental
630665b8594e18004af0525c,Institución Educativa Simón Bolívar,Institución Educativa Simón Bolívar
630665b8594e18004af05267,Certus,Certus
